Title,Description,Level

Linux Essentials,"Aprenda os conceitos básicos do sistema operacional Linux: estrutura de diretórios, comandos fundamentais, permissões e gerenciamento de usuários.",beginner
Linux Administration,"Domine a administração de sistemas Linux, incluindo configuração de serviços, gerenciamento de pacotes, monitoramento de processos e segurança.",intermediate
Linux Networking,"Aprenda a configurar redes em Linux, incluindo interfaces, firewall com iptables, SSH, servidores web e DNS.",advanced
HTML Fundamentals,"Aprenda a estruturar páginas da web com HTML, entendendo elementos, atributos, links, imagens e formulários.",beginner
Advanced HTML & Forms,"Aprofunde seus conhecimentos em HTML criando formulários complexos, trabalhando com inputs, validações e acessibilidade.",intermediate
CSS Fundamentals,"Domine a estilização de páginas web com CSS, incluindo seletores, cores, tipografia, layouts responsivos e animações.",beginner
CSS Flexbox & Grid,"Domine os sistemas modernos de layout em CSS para criar páginas responsivas e bem estruturadas.",intermediate
JavaScript Essentials,"Aprenda a linguagem de programação da web: variáveis, funções, DOM, eventos e manipulação de elementos dinâmicos.",beginner
Modern JavaScript (ES6+),"Aprenda os recursos modernos do JavaScript, incluindo arrow functions, promises, async/await e módulos.",intermediate
C Programming Basics,"Entenda os conceitos fundamentais da linguagem C: variáveis, ponteiros, estruturas de controle, arrays e funções.",beginner
C Memory Management,"Entenda como funciona a alocação e liberação de memória em C, trabalhando com ponteiros, malloc e free.",advanced
Java Programming Fundamentals,"Aprenda a programar em Java: sintaxe, orientação a objetos, classes, herança e tratamento de exceções.",beginner
Java OOP Advanced,"Aprofunde-se em conceitos avançados de orientação a objetos em Java: polimorfismo, interfaces, generics e coleções.",intermediate
PHP for Web Development,"Aprenda a criar aplicações dinâmicas com PHP: sintaxe, variáveis, formulários, sessões e integração com bancos de dados.",beginner
PHP with Databases,"Aprenda a integrar PHP com bancos de dados relacionais, construindo aplicações dinâmicas e seguras.",intermediate
Dart Programming,"Aprenda a linguagem Dart, base do Flutter, cobrindo sintaxe, funções, classes, coleções e programação assíncrona.",beginner
Dart Asynchronous Programming,"Aprenda a lidar com programação assíncrona em Dart usando Futures, Streams e async/await.",intermediate
Node.js Fundamentals,"Aprenda a usar Node.js para construir aplicações back-end: módulos, npm, APIs REST e integração com bancos de dados.",intermediate
Node.js with Express,"Construa APIs REST completas com Node.js e Express, incluindo autenticação, middlewares e integração com MongoDB.",advanced
MySQL Fundamentals,"Aprenda a modelar e consultar bancos de dados relacionais com MySQL: tabelas, chaves, SELECT, JOIN e funções agregadas.",beginner
MySQL Optimization,"Aprenda técnicas de otimização de consultas SQL, criação de índices e tuning de performance em MySQL.",advanced
SQL Server Essentials,"Aprenda a usar o SQL Server para gerenciar dados: criação de tabelas, consultas, stored procedures e segurança.",intermediate
SQL Server for BI,"Aprenda a usar SQL Server em cenários de Business Intelligence, criando procedures, views e relatórios.",advanced
Bootstrap 5 Fundamentals,"Aprenda a criar interfaces modernas e responsivas com Bootstrap 5: grid system, componentes e personalização.",beginner
Bootstrap 5 Advanced,"Personalize temas, crie componentes customizados e explore utilitários avançados do Bootstrap 5.",intermediate
Django Framework,"Aprenda a desenvolver aplicações web robustas com Django: models, views, templates, autenticação e ORM.",intermediate
Django REST Framework,"Aprenda a criar APIs robustas e escaláveis com Django REST Framework, incluindo autenticação e versionamento.",advanced
Angular Fundamentals,"Aprenda a construir aplicações SPA com Angular: componentes, diretivas, serviços, roteamento e formulários.",intermediate
Angular Advanced,"Aprofunde-se em Angular com RxJS, Observables, lazy loading e otimização de performance.",advanced
React Fundamentals,"Aprenda a criar interfaces reativas com React: JSX, componentes, props, state, hooks e gerenciamento de estado.",intermediate
React with Redux,"Aprenda a gerenciar estado global em aplicações React usando Redux e boas práticas de arquitetura.",advanced
Flutter Fundamentals,"Aprenda a desenvolver aplicativos multiplataforma com Flutter: widgets, layouts, navegação e integração com APIs.",intermediate
Flutter Advanced UI,"Crie interfaces complexas e animadas em Flutter, explorando widgets avançados e customização de temas.",advanced
Laravel Framework,"Aprenda a desenvolver aplicações web modernas com Laravel: rotas, controllers, migrations, Eloquent ORM e autenticação.",intermediate
Laravel Advanced,"Aprenda recursos avançados do Laravel, como queues, eventos, broadcasting e testes automatizados.",advanced
Express.js Fundamentals,"Aprenda a criar APIs e aplicações web com Express.js: rotas, middlewares, templates e integração com bancos de dados.",intermediate
Express.js Authentication,"Implemente autenticação segura em aplicações Express.js usando JWT, OAuth2 e middlewares customizados.",advanced
Git Essentials,"Aprenda a usar Git para controle de versão: commits, branches, merges, pull requests e colaboração em equipe.",beginner
Git Advanced Workflows,"Aprenda fluxos de trabalho avançados com Git: rebase, cherry-pick, submodules e integração com CI/CD.",intermediate

Advanced HTML & Forms,"Aprofunde seus conhecimentos em HTML criando formulários complexos, trabalhando com inputs, validações e acessibilidade.",intermediate
CSS Flexbox & Grid,"Domine os sistemas modernos de layout em CSS para criar páginas responsivas e bem estruturadas.",intermediate
Modern JavaScript (ES6+),"Aprenda os recursos modernos do JavaScript, incluindo arrow functions, promises, async/await e módulos.",intermediate
C Memory Management,"Entenda como funciona a alocação e liberação de memória em C, trabalhando com ponteiros, malloc e free.",advanced
Java OOP Advanced,"Aprofunde-se em conceitos avançados de orientação a objetos em Java: polimorfismo, interfaces, generics e coleções.",intermediate
Linux Command Line Mastery,"Aprenda a dominar o terminal Linux com comandos avançados, pipes, redirecionamentos e scripts de automação.",intermediate
PHP with Databases,"Aprenda a integrar PHP com bancos de dados relacionais, construindo aplicações dinâmicas e seguras.",intermediate
Dart Asynchronous Programming,"Aprenda a lidar com programação assíncrona em Dart usando Futures, Streams e async/await.",intermediate
Node.js with Express,"Construa APIs REST completas com Node.js e Express, incluindo autenticação, middlewares e integração com MongoDB.",advanced
MySQL Optimization,"Aprenda técnicas de otimização de consultas SQL, criação de índices e tuning de performance em MySQL.",advanced
SQL Server for BI,"Aprenda a usar SQL Server em cenários de Business Intelligence, criando procedures, views e relatórios.",advanced
Bootstrap 5 Advanced,"Personalize temas, crie componentes customizados e explore utilitários avançados do Bootstrap 5.",intermediate
Django REST Framework,"Aprenda a criar APIs robustas e escaláveis com Django REST Framework, incluindo autenticação e versionamento.",advanced
Angular Advanced,"Aprofunde-se em Angular com RxJS, Observables, lazy loading e otimização de performance.",advanced
React with Redux,"Aprenda a gerenciar estado global em aplicações React usando Redux e boas práticas de arquitetura.",advanced
Flutter Advanced UI,"Crie interfaces complexas e animadas em Flutter, explorando widgets avançados e customização de temas.",advanced
Laravel Advanced,"Aprenda recursos avançados do Laravel, como queues, eventos, broadcasting e testes automatizados.",advanced
Express.js Authentication,"Implemente autenticação segura em aplicações Express.js usando JWT, OAuth2 e middlewares customizados.",advanced
Git Advanced Workflows,"Aprenda fluxos de trabalho avançados com Git: rebase, cherry-pick, submodules e integração com CI/CD.",intermediate

HTML Fundamentals,"Aprenda a estruturar páginas da web com HTML, entendendo elementos, atributos, links, imagens e formulários.",beginner
CSS Fundamentals,"Domine a estilização de páginas web com CSS, incluindo seletores, cores, tipografia, layouts responsivos e animações.",beginner
JavaScript Essentials,"Aprenda a linguagem de programação da web: variáveis, funções, DOM, eventos e manipulação de elementos dinâmicos.",beginner
C Programming Basics,"Entenda os conceitos fundamentais da linguagem C: variáveis, ponteiros, estruturas de controle, arrays e funções.",beginner
Java Programming Fundamentals,"Aprenda a programar em Java: sintaxe, orientação a objetos, classes, herança e tratamento de exceções.",beginner
Linux Fundamentals,"Aprenda a usar o sistema operacional Linux: terminal, comandos básicos, manipulação de arquivos, permissões e processos.",beginner
PHP for Web Development,"Aprenda a criar aplicações dinâmicas com PHP: sintaxe, variáveis, formulários, sessões e integração com bancos de dados.",beginner
Dart Programming,"Aprenda a linguagem Dart, base do Flutter, cobrindo sintaxe, funções, classes, coleções e programação assíncrona.",beginner
Node.js Fundamentals,"Aprenda a usar Node.js para construir aplicações back-end: módulos, npm, APIs REST e integração com bancos de dados.",intermediate
MySQL Fundamentals,"Aprenda a modelar e consultar bancos de dados relacionais com MySQL: tabelas, chaves, SELECT, JOIN e funções agregadas.",beginner
SQL Server Essentials,"Aprenda a usar o SQL Server para gerenciar dados: criação de tabelas, consultas, stored procedures e segurança.",intermediate
Bootstrap 5 Fundamentals,"Aprenda a criar interfaces modernas e responsivas com Bootstrap 5: grid system, componentes e personalização.",beginner
Django Framework,"Aprenda a desenvolver aplicações web robustas com Django: models, views, templates, autenticação e ORM.",intermediate
Angular Fundamentals,"Aprenda a construir aplicações SPA com Angular: componentes, diretivas, serviços, roteamento e formulários.",intermediate
React Fundamentals,"Aprenda a criar interfaces reativas com React: JSX, componentes, props, state, hooks e gerenciamento de estado.",intermediate
Flutter Fundamentals,"Aprenda a desenvolver aplicativos multiplataforma com Flutter: widgets, layouts, navegação e integração com APIs.",intermediate
Laravel Framework,"Aprenda a desenvolver aplicações web modernas com Laravel: rotas, controllers, migrations, Eloquent ORM e autenticação.",intermediate
Express.js Fundamentals,"Aprenda a criar APIs e aplicações web com Express.js: rotas, middlewares, templates e integração com bancos de dados.",intermediate
Git Essentials,"Aprenda a usar Git para controle de versão: commits, branches, merges, pull requests e colaboração em equipe.",beginner

HTML Fundamentals,"Aprenda a estruturar páginas da web com HTML, entendendo elementos, atributos, links, imagens e formulários.",beginner
CSS Fundamentals,"Domine a estilização de páginas web com CSS, incluindo seletores, cores, tipografia, layouts responsivos e animações.",beginner
JavaScript Essentials,"Aprenda a linguagem de programação da web: variáveis, funções, DOM, eventos e manipulação de elementos dinâmicos.",beginner
Python Programming Fundamentals,"Aprenda os fundamentos da linguagem Python: sintaxe, estruturas de dados, funções, módulos e boas práticas.",beginner
C Programming Basics,"Entenda os conceitos fundamentais da linguagem C: variáveis, ponteiros, estruturas de controle, arrays e funções.",beginner
Java Programming Fundamentals,"Aprenda a programar em Java: sintaxe, orientação a objetos, classes, herança e tratamento de exceções.",beginner
Linux Fundamentals,"Aprenda a usar o sistema operacional Linux: terminal, comandos básicos, manipulação de arquivos, permissões e processos.",beginner
PHP for Web Development,"Aprenda a criar aplicações dinâmicas com PHP: sintaxe, variáveis, formulários, sessões e integração com bancos de dados.",beginner
Dart Programming,"Aprenda a linguagem Dart, base do Flutter, cobrindo sintaxe, funções, classes, coleções e programação assíncrona.",beginner
Node.js Fundamentals,"Aprenda a usar Node.js para construir aplicações back-end: módulos, npm, APIs REST e integração com bancos de dados.",intermediate
MySQL Fundamentals,"Aprenda a modelar e consultar bancos de dados relacionais com MySQL: tabelas, chaves, SELECT, JOIN e funções agregadas.",beginner
SQL Server Essentials,"Aprenda a usar o SQL Server para gerenciar dados: criação de tabelas, consultas, stored procedures e segurança.",intermediate
Bootstrap 5 Fundamentals,"Aprenda a criar interfaces modernas e responsivas com Bootstrap 5: grid system, componentes e personalização.",beginner
Django Framework,"Aprenda a desenvolver aplicações web robustas com Django: models, views, templates, autenticação e ORM.",intermediate
Angular Fundamentals,"Aprenda a construir aplicações SPA com Angular: componentes, diretivas, serviços, roteamento e formulários.",intermediate
React Fundamentals,"Aprenda a criar interfaces reativas com React: JSX, componentes, props, state, hooks e gerenciamento de estado.",intermediate
Flutter Fundamentals,"Aprenda a desenvolver aplicativos multiplataforma com Flutter: widgets, layouts, navegação e integração com APIs.",intermediate
Laravel Framework,"Aprenda a desenvolver aplicações web modernas com Laravel: rotas, controllers, migrations, Eloquent ORM e autenticação.",intermediate
Express.js Fundamentals,"Aprenda a criar APIs e aplicações web com Express.js: rotas, middlewares, templates e integração com bancos de dados.",intermediate
Git Essentials,"Aprenda a usar Git para controle de versão: commits, branches, merges, pull requests e colaboração em equipe.",beginner

Linux Essentials,"Aprenda os conceitos básicos do sistema operacional Linux: estrutura de diretórios, comandos fundamentais, permissões e gerenciamento de usuários.",beginner
Linux Administration,"Domine a administração de sistemas Linux, incluindo configuração de serviços, gerenciamento de pacotes, monitoramento de processos e segurança.",intermediate
Linux for Developers,"Entenda como usar Linux como ambiente de desenvolvimento: compiladores, bibliotecas, ferramentas de build e integração com Git.",intermediate
